"","t","x","Y","P","r","f","q"
"1",0,0.1,0.0131050075442492,0.9986903575767,0.0131050075442492,0.0131050075442492,-0.00589609603600021
"2",0,0.2,0.020977514520423,0.995813285922746,0.0131050075442492,0.0288500214965974,-0.00589609603600021
"3",0,0.3,0.0267422916138707,0.992009408384014,0.0131050075442492,0.0382718458007656,-0.00589609603600021
"4",0,0.4,0.0310329370374921,0.987663550841705,0.0131050075442492,0.043904873308357,-0.00589609603600021
"5",0,0.5,0.0342803251375856,0.983005894347325,0.0131050075442492,0.0472698775379596,-0.00589609603600021
"6",0,0.6,0.0367800117296494,0.978173710092686,0.0131050075442492,0.0492784446899675,-0.00589609603600021
"7",0,0.7,0.0387366472864804,0.973248675788226,0.0131050075442492,0.0504764606274675,-0.00589609603600021
"8",0,0.8,0.0402933807695871,0.968279295787691,0.0131050075442492,0.0511905151513334,-0.00589609603600021
"9",0,0.9,0.0415514304536455,0.963294318290597,0.0131050075442492,0.0516158279261128,-0.00589609603600021
"10",0,1,0.0425831869716434,0.958310743236442,0.0131050075442492,0.051868995633624,-0.00589609603600021
"11",0,1.1,0.0434410429205715,0.953338592529119,0.0131050075442492,0.0520196024098533,-0.00589609603600021
"12",0,1.2,0.044163384759081,0.948383747484321,0.0131050075442492,0.0521091449826851,-0.00589609603600021
"13",0,1.3,0.0447786899901034,0.9434496346597,0.0131050075442492,0.0521623527623723,-0.00589609603600021
"14",0,1.4,0.0453083516426705,0.938538226498991,0.0131050075442492,0.052193953126043,-0.00589609603600021
"15",0,1.5,0.0457686422864467,0.933650634777066,0.0131050075442492,0.0522127112993127,-0.00589609603600021
"16",0,1.6,0.0461720922004712,0.928787462285592,0.0131050075442492,0.0522238409108392,-0.00589609603600021
"17",0,1.7,0.0465284656767386,0.923949011104464,0.0131050075442492,0.0522304412970171,-0.00589609603600021
"18",0,1.8,0.0468454594674733,0.919135405863013,0.0131050075442492,0.0522343539099628,-0.00589609603600021
"19",0,1.9,0.0471292075095891,0.914346666645568,0.0131050075442492,0.0522366722676743,-0.00589609603600021
"20",0,2,0.0473846494048962,0.909582752088213,0.0131050075442492,0.05223804541573,-0.00589609603600021
"21",0,2.1,0.0476158022144031,0.904843584840448,0.0131050075442492,0.052238858404541,-0.00589609603600021
"22",0,2.2,0.0478259630029977,0.900129066599772,0.0131050075442492,0.0522393395634847,-0.00589609603600021
"23",0,2.3,0.04801786131719,0.8954390869844,0.0131050075442492,0.0522396242294206,-0.00589609603600021
"24",0,2.4,0.0481937751200749,0.890773528766532,0.0131050075442492,0.0522397925864281,-0.00589609603600021
"25",0,2.5,0.0483556198001777,0.886132270957062,0.0131050075442492,0.052239892122645,-0.00589609603600021
"26",0,2.6,0.0485050171521522,0.881515190622492,0.0131050075442492,0.0522399509515136,-0.00589609603600021
"27",0,2.7,0.0486433493209715,0.876922163954082,0.0131050075442492,0.0522399857102737,-0.00589609603600021
"28",0,2.8,0.0487718013538342,0.872353066896182,0.0131050075442492,0.052240006241127,-0.00589609603600021
"29",0,2.9,0.048891395043857,0.867807775514765,0.0131050075442492,0.0522400183644952,-0.00589609603600021
"30",0,3,0.0490030160597707,0.863286166212951,0.0131050075442492,0.052240025521269,-0.00589609603600021
"31",0,3.1,0.0491074358560673,0.858788115856423,0.0131050075442492,0.0522400297449643,-0.00589609603600021
"32",0,3.2,0.0492053294929714,0.854313501845814,0.0131050075442492,0.0522400322369992,-0.00589609603600021
"33",0,3.3,0.0492972902267285,0.849862202157899,0.0131050075442492,0.052240033706955,-0.00589609603600021
"34",0,3.4,0.0493838415310544,0.845434095368444,0.0131050075442492,0.0522400345738097,-0.00589609603600021
"35",0,3.5,0.0494654470611639,0.841029060664275,0.0131050075442492,0.0522400350848867,-0.00589609603600021
"36",0,3.6,0.0495425189590797,0.836646977849014,0.0131050075442492,0.0522400353861332,-0.00589609603600021
"37",0,3.7,0.0496154248132576,0.832287727345111,0.0131050075442492,0.0522400355636618,-0.00589609603600021
"38",0,3.8,0.0496844935199681,0.827951190193689,0.0131050075442492,0.0522400356682567,-0.00589609603600021
"39",0,3.9,0.0497500202432988,0.823637248053132,0.0131050075442492,0.0522400357298655,-0.00589609603600021
"40",0,4,0.0498122706313701,0.819345783196926,0.0131050075442492,0.0522400357661509,-0.00589609603600021
"41",0,4.1,0.0498714844156663,0.815076678511076,0.0131050075442492,0.052240035787514,-0.00589609603600021
"42",0,4.2,0.0499278784962479,0.810829817491279,0.0131050075442492,0.0522400358000941,-0.00589609603600021
"43",0,4.3,0.0499816495965095,0.80660508423996,0.0131050075442492,0.0522400358074956,-0.00589609603600021
"44",0,4.4,0.0500329765559491,0.802402363463241,0.0131050075442492,0.052240035811853,-0.00589609603600021
"45",0,4.5,0.0500820223172483,0.798221540467861,0.0131050075442492,0.0522400358144122,-0.00589609603600021
"46",0,4.6,0.0501289356541761,0.794062501158096,0.0131050075442492,0.0522400358159274,-0.00589609603600021
"47",0,4.7,0.050173852678913,0.789925132032668,0.0131050075442492,0.0522400358168107,-0.00589609603600021
"48",0,4.8,0.0502168981609633,0.785809320181666,0.0131050075442492,0.0522400358173277,-0.00589609603600021
"49",0,4.9,0.0502581866845689,0.781714953283465,0.0131050075442492,0.052240035817637,-0.00589609603600021
"50",0,5,0.0502978236672339,0.777641919601677,0.0131050075442492,0.0522400358178195,-0.00589609603600021
"51",0,5.1,0.0503359062584239,0.773590107982095,0.0131050075442492,0.0522400358179228,-0.00589609603600021
"52",0,5.2,0.0503725241345694,0.769559407849668,0.0131050075442492,0.05224003581799,-0.00589609603600021
